word,admin_search_count
foto,3.0
astronaut,0.0
aarde,0.0
Boeing Starliner,0.0
wereldtoneel,0.0
Chinees,0.0
grip,0.0
passage,0.0
hulp,0.0
zorg,0.0
raketcrisis,0.0
Koude Oorlog,0.0
Democraat,0.0
kandidaatschap,0.0
doorbraak,0.0
zicht,0.0
wisseling,0.0
Belasting,0.0
Kabinet,0.0
businessmodel,0.0
prijsvechter,0.0
vrijstelling,0.0
waarde,0.0
invoerrecht,0.0
zending,0.0
bedrijf,0.0
jachthaven,0.0
sloep,0.0
plek,0.0
kosten,0.0
komst,0.0
aanval,0.0
verdediging,0.0
botsen,0.0
gevaar,0.0
escalatie,0.0
treinstation,0.0
Watertorkruid,0.0
uiterlijk,0.0
verzorging,0.0
gezondheid,0.0
Kunstmatige intelligentie,0.0
stikstofdeadline,0.0
erfenis,0.0
warmte,0.0
hitteplan,0.0
boodschap,0.0
uitzonderingspositie,0.0
exportregel,0.0
fabrikant,0.0
zonnepaneel,0.0
deelname,0.0
Verenigde Naties,0.0
tegenstand,0.0
inzet,0.0
beoordeling,0.0
inlevering,0.0
aankoop,0.0
verzending,0.0
wolfspoot,0.0
bloemkransje,0.0
rups,0.0
pauwoogpijlstaart,0.0
roodoogjuffer,0.0
rij,0.0
gevecht,0.0
loon,0.0
werkgever,0.0
akkoord,0.0
slag,0.0
arm,0.0
reiziger,0.0
veiligheidsrisico,0.0
